#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.68678  0.65720  0.00090 -0.80779  0.000969  0.000413  0.001197     2.345
   1.69909  0.66950  0.00127 -0.81132  0.000977  0.000416  0.001193     2.345
   1.71138  0.68179  0.00162 -0.81507  0.000981  0.000419  0.001198     2.341
   1.72367  0.69407  0.00196 -0.81870  0.000987  0.000422  0.001198     2.339
   1.73596  0.70636  0.00228 -0.82276  0.000988  0.000424  0.001213     2.330
   1.74824  0.71864  0.00257 -0.82613  0.000998  0.000427  0.001202     2.334
   1.76051  0.73091  0.00285 -0.82995  0.001001  0.000430  0.001209     2.329
   1.77277  0.74316  0.00311 -0.83388  0.001003  0.000432  0.001219     2.323
   1.78503  0.75541  0.00334 -0.83772  0.001006  0.000434  0.001225     2.320
   1.79727  0.76766  0.00355 -0.84194  0.001006  0.000435  0.001241     2.312
   1.80951  0.77990  0.00373 -0.84619  0.001006  0.000436  0.001256     2.305
   1.82175  0.79213  0.00389 -0.85062  0.001004  0.000437  0.001273     2.297
   1.83398  0.80436  0.00402 -0.85488  0.001006  0.000439  0.001281     2.294
   1.84619  0.81658  0.00412 -0.85969  0.001002  0.000439  0.001307     2.283
   1.85839  0.82878  0.00420 -0.86421  0.001002  0.000440  0.001317     2.280
   1.87058  0.84096  0.00424 -0.86961  0.000994  0.000439  0.001355     2.265
   1.88275  0.85313  0.00425 -0.87485  0.000990  0.000439  0.001379     2.257
   1.89490  0.86528  0.00423 -0.88069  0.000981  0.000437  0.001418     2.244
   1.90702  0.87740  0.00416 -0.88655  0.000974  0.000436  0.001450     2.234
   1.91912  0.88950  0.00406 -0.89355  0.000959  0.000433  0.001512     2.214
   1.93119  0.90157  0.00391 -0.90051  0.000947  0.000430  0.001559     2.201
   1.94323  0.91360  0.00371 -0.90918  0.000924  0.000425  0.001651     2.175
   1.95522  0.92559  0.00346 -0.91797  0.000906  0.000420  0.001727     2.157
   1.96713  0.93750  0.00315 -0.92887  0.000876  0.000412  0.001855     2.126
   1.97894  0.94930  0.00279 -0.94123  0.000844  0.000403  0.002004     2.094
   1.99056  0.96092  0.00235 -0.95590  0.000806  0.000392  0.002196     2.058
   2.00192  0.97226  0.00183 -0.97592  0.000748  0.000374  0.002528     2.000
   2.01288  0.98321  0.00122 -1.00307  0.000676  0.000350  0.003034     1.930
   2.02326  0.99357  0.00052 -1.05526  0.000546  0.000304  0.004347     1.795
   2.02971  1.00000  0.00000 -1.04979  0.000618  0.000322  0.003498     1.920
   2.02971  1.00010 -0.00001  1.04979  0.074084  0.011782  0.000000     6.288
   2.03618  1.00653 -0.00075  1.04742  0.072556  0.012001  0.000000     6.046
   2.04344  1.01376 -0.00139  1.04487  0.071910  0.012236  0.000000     5.877
   2.05158  1.02188 -0.00197  1.04193  0.071233  0.012508  0.000000     5.695
   2.06071  1.03099 -0.00251  1.03852  0.070464  0.012823  0.000000     5.495
   2.07096  1.04122 -0.00299  1.03454  0.069542  0.013192  0.000000     5.272
   2.08245  1.05271 -0.00340  1.02985  0.068419  0.013627  0.000000     5.021
   2.09534  1.06559 -0.00374  1.02430  0.067047  0.014143  0.000000     4.741
   2.10979  1.08005 -0.00397  1.01762  0.065376  0.014766  0.000000     4.428
   2.12601  1.09626 -0.00407  1.00943  0.063357  0.015531  0.000000     4.079
   2.14420  1.11445 -0.00400  0.99895  0.060957  0.016515  0.000000     3.691
   2.16460  1.13486 -0.00374  0.98438  0.058200  0.017898  0.000000     3.252
   2.18749  1.15774 -0.00322  0.97022  0.054984  0.019257  0.000000     2.855
   2.21317  1.18340 -0.00241  0.96054  0.051363  0.020186  0.000000     2.544
   2.24196  1.21217 -0.00122  0.95344  0.047559  0.020858  0.000000     2.280
   2.27427  1.24443  0.00041  0.94907  0.043733  0.021262  0.000000     2.057
   2.31050  1.28061  0.00258  0.94734  0.040049  0.021416  0.000000     1.870
   2.35115  1.32115  0.00538  0.94792  0.036643  0.021366  0.000000     1.715
   2.39674  1.36661  0.00894  0.95025  0.033609  0.021175  0.000000     1.587
   2.44788  1.41756  0.01339  0.95373  0.030984  0.020903  0.000000     1.482
   2.50525  1.47466  0.01889  0.95779  0.028761  0.020601  0.000000     1.396
   2.56960  1.53865  0.02563  0.96199  0.026904  0.020299  0.000000     1.325
   2.64178  1.61037  0.03381  0.96608  0.025362  0.020018  0.000000     1.267
   2.72275  1.69073  0.04367  0.96989  0.024085  0.019764  0.000000     1.219
   2.81357  1.78078  0.05547  0.97337  0.023029  0.019539  0.000000     1.179
   2.91544  1.88168  0.06952  0.97651  0.022156  0.019341  0.000000     1.146
   3.02971  1.99474  0.08617  0.98203  0.021234  0.019002  0.000000     1.117
